threshold,precision,recall,f1,accuracy,balanced_accuracy,youden
0.0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0
0.01,0.6358087487283826,1.0,0.777363184079602,0.7136,0.7136,0.4272
0.02,0.6608511763150938,1.0,0.7957981855801369,0.7434,0.7434000000000001,0.4868
0.03,0.6713211600429646,1.0,0.8033419023136247,0.7552,0.7552,0.5104
0.04,0.6789788158609451,1.0,0.8087997411840828,0.7636,0.7636000000000001,0.5272
0.05,0.6836204539239814,1.0,0.8120838070488875,0.7686,0.7686,0.5372
0.06,0.6892748828232699,1.0,0.8160600620205647,0.7746,0.7746,0.5492
0.07,0.6936736958934517,1.0,0.8191349934469201,0.7792,0.7792,0.5584
0.08,0.6957973838018369,1.0,0.8206138191367143,0.7814,0.7814,0.5628
0.09,0.6978759083286752,0.9988,0.8216518591641987,0.7832,0.7832,0.5664
0.1,0.6998318385650224,0.9988,0.8230059327620303,0.7852,0.7852,0.5704
0.11,0.7025886325267304,0.9988,0.8249091509745623,0.788,0.788,0.5760000000000001
0.12,0.7063986409966025,0.998,0.8272546419098143,0.7916,0.7916000000000001,0.5832
0.13,0.7113519680547633,0.9976,0.8305028305028305,0.7964,0.7964,0.5928
0.14,0.7141220280721856,0.9972,0.8322483725588382,0.799,0.7989999999999999,0.598
0.15,0.7152698048220436,0.9968,0.8328877005347594,0.8,0.8,0.6
0.16,0.7187770406691665,0.9968,0.8352605999664823,0.8034,0.8034,0.6068
0.17,0.7218197623877137,0.9964,0.8371702234918501,0.8062,0.8062,0.6123999999999999
0.18,0.7248107163657542,0.9956,0.8388945062352544,0.8088,0.8088,0.6176
0.19,0.7288433382137628,0.9956,0.8415891800507185,0.8126,0.8126,0.6252000000000001
0.2,0.7324896998234256,0.9956,0.8440149203119701,0.816,0.8160000000000001,0.632
0.21,0.7355029585798817,0.9944,0.845578231292517,0.8184,0.8184,0.6367999999999999
0.22,0.7369513641755635,0.994,0.8463896457765667,0.8196,0.8196,0.6392
0.23,0.7398035129502828,0.994,0.8482676224611708,0.8222,0.8222,0.6444
0.24,0.7417910447761195,0.994,0.8495726495726496,0.824,0.8240000000000001,0.648
0.25,0.7426778242677824,0.994,0.8501539514197742,0.8248,0.8248,0.6496
0.26,0.7446808510638298,0.994,0.8514647935583347,0.8266,0.8266,0.6532
0.27,0.7458696305196756,0.9932,0.8519471607479843,0.8274,0.8273999999999999,0.6547999999999999
0.28,0.7469154378573578,0.9928,0.8524815387257427,0.8282,0.8282,0.6564
0.29,0.7484921592279855,0.9928,0.8535075653370013,0.8296,0.8296,0.6592
0.3,0.7497733454215775,0.9924,0.8541917713892236,0.8306,0.8306,0.6611999999999999
0.31,0.752274105518496,0.9924,0.8558123490858917,0.8328,0.8328,0.6656
0.32,0.7549527583053947,0.9908,0.8569451651963328,0.8346,0.8346,0.6692
0.33,0.7563436258025069,0.9896,0.8573904002772483,0.8354,0.8354,0.6708000000000001
0.34,0.7586736260362297,0.9884,0.8584332117422269,0.837,0.837,0.6739999999999999
0.35000000000000003,0.7603203943314849,0.9872,0.8590323703445876,0.838,0.838,0.6759999999999999
0.36,0.7620817843866171,0.984,0.8589385474860335,0.8384,0.8384,0.6768
0.37,0.7637721755368814,0.9816,0.8590932959915981,0.839,0.839,0.678
0.38,0.7655323134561349,0.9808,0.8598982991408031,0.8402,0.8402000000000001,0.6804
0.39,0.7684078036500944,0.9768,0.8601620288834096,0.8412,0.8412,0.6824
0.4,0.7703258462511864,0.974,0.860272036742625,0.8418,0.8418,0.6836
0.41000000000000003,0.7732353880549345,0.9684,0.8598827916888652,0.8422,0.8422000000000001,0.6844
0.42,0.7765273311897106,0.966,0.8609625668449198,0.844,0.844,0.688
0.43,0.7797214123744736,0.9628,0.861643100053696,0.8454,0.8453999999999999,0.6908
0.44,0.7833060556464811,0.9572,0.8615661566156616,0.8462,0.8462000000000001,0.6924
0.45,0.7869449966865474,0.95,0.8608191373686118,0.8464,0.8464,0.6928
0.46,0.7896147403685092,0.9428,0.8594348222424795,0.8458,0.8458,0.6916
0.47000000000000003,0.7934893184130214,0.936,0.8588731877408698,0.8462,0.8462000000000001,0.6924
0.48,0.7971859986273164,0.9292,0.8581455485777614,0.8464,0.8464,0.6928
0.49,0.8040375913679081,0.924,0.8598548297040759,0.8494,0.8494,0.6988000000000001
0.5,0.8098267939201131,0.9164,0.8598236066804279,0.8506,0.8506,0.7012
0.51,0.8174631692418254,0.91,0.8612530759038425,0.8534,0.8533999999999999,0.7068
0.52,0.8221574344023324,0.9024,0.8604118993135011,0.8536,0.8535999999999999,0.7071999999999999
0.53,0.8270509977827051,0.8952,0.8597771801767192,0.854,0.854,0.708
0.54,0.8325215436493069,0.8888,0.8597407622364094,0.855,0.855,0.7100000000000001
0.55,0.838353030880671,0.8796,0.8584813585789577,0.855,0.855,0.7100000000000001
0.56,0.8416376979528776,0.8716,0.8563568481037532,0.8538,0.8538,0.7076
0.5700000000000001,0.8448883666274971,0.8628,0.8537502473777954,0.8522,0.8522000000000001,0.7044
0.58,0.849445324881141,0.8576,0.8535031847133758,0.8528,0.8528,0.7056
0.59,0.8508420208500401,0.8488,0.8498197837404886,0.85,0.85,0.7
0.6,0.8556951763275233,0.8444,0.8500100664384941,0.851,0.851,0.7020000000000001
0.61,0.8585445625511039,0.84,0.8491710473109584,0.8508,0.8508,0.7016
0.62,0.8603882693102024,0.8332,0.8465758992074781,0.849,0.849,0.6980000000000001
0.63,0.8653283145127562,0.8276,0.8460437538335719,0.8494,0.8493999999999999,0.6988
0.64,0.868421052631579,0.8184,0.842668863261944,0.8472,0.8472,0.6944
0.65,0.8694908001711597,0.8128,0.8401902005375232,0.8454,0.8453999999999999,0.6908
0.66,0.8717948717948718,0.8024,0.8356592376588211,0.8422,0.8422000000000001,0.6844
0.67,0.8731836195508587,0.7932,0.8312722699643681,0.839,0.839,0.678
0.68,0.8752220248667851,0.7884,0.8295454545454546,0.838,0.838,0.6759999999999999
0.6900000000000001,0.8763440860215054,0.7824,0.8267117497886729,0.836,0.836,0.6719999999999999
0.7000000000000001,0.8780154756486117,0.7716,0.8213753459655099,0.8322,0.8322,0.6644
0.71,0.878969167050161,0.764,0.8174620158356516,0.8294,0.8294,0.6588
0.72,0.880429705744979,0.754,0.8123249299719888,0.8258,0.8258,0.6516
0.73,0.8824362606232294,0.7476,0.8094413165872673,0.824,0.8240000000000001,0.648
0.74,0.8840440824149497,0.738,0.8044473512099412,0.8206,0.8206,0.6412
0.75,0.887144259077527,0.7232,0.7968267959453503,0.8156,0.8156,0.6312
0.76,0.8910191725529768,0.7064,0.788041053101294,0.81,0.81,0.62
0.77,0.8937273198548471,0.6896,0.778505305938135,0.8038,0.8038000000000001,0.6076
0.78,0.8934337997847147,0.664,0.7618173474070674,0.7924,0.7924,0.5848
0.79,0.89520624303233,0.6424,0.7480204937121565,0.7836,0.7836,0.5671999999999999
0.8,0.8982850384387936,0.6076,0.7248866618945359,0.7694,0.7694000000000001,0.5388000000000001
0.81,0.8994974874371859,0.5728,0.6999022482893451,0.7544,0.7544,0.5088
0.8200000000000001,0.898861352980576,0.5368,0.6721763085399449,0.7382,0.7382,0.47640000000000005
0.8300000000000001,0.9003584229390681,0.5024,0.6449293966623877,0.7234,0.7234,0.4468
0.84,0.8996840442338072,0.4556,0.6048858204992034,0.7024,0.7024,0.40480000000000005
0.85,0.901213171577123,0.416,0.5692391899288451,0.6852,0.6852,0.3704
0.86,0.9034146341463415,0.3704,0.5253900709219859,0.6654,0.6654,0.33080000000000004
0.87,0.9044943820224719,0.322,0.4749262536873156,0.644,0.644,0.288
0.88,0.9045092838196287,0.2728,0.4191763982790412,0.622,0.622,0.24399999999999994
0.89,0.9024767801857585,0.2332,0.3706293706293706,0.604,0.604,0.208
0.9,0.90625,0.1856,0.30810092961487384,0.5832,0.5831999999999999,0.1664
0.91,0.9172932330827067,0.1464,0.25250086236633323,0.5666,0.5666,0.1332
0.92,0.926923076923077,0.0964,0.1746376811594203,0.5444,0.5444,0.08879999999999995
0.93,0.9290780141843972,0.0524,0.09920484664899659,0.5242,0.5242,0.0484
0.9400000000000001,0.9361702127659575,0.0176,0.03455045151158225,0.5082,0.5082,0.016400000000000022
0.9500000000000001,0.75,0.0024,0.004784688995215311,0.5008,0.5008,0.0015999999999999769
0.96,0.0,0.0,0.0,0.5,0.5,0.0
0.97,0.0,0.0,0.0,0.5,0.5,0.0
0.98,0.0,0.0,0.0,0.5,0.5,0.0
0.99,0.0,0.0,0.0,0.5,0.5,0.0
1.0,0.0,0.0,0.0,0.5,0.5,0.0
